unique_input_record_identifier	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
00qSzFGT8c6Om96MRK3uSt	Mama Raised Me	MAMARAISEDME	MAMARAISEDME	119457963	MAMA RAISED ME	BROADUS C/ANDERSON D/MILLER P/TAPP J
745RHtUOB8KIetZUqQ4zEZ	Leave a Light On (feat. Tom Walker)	LEAVELIGHTON	LEAVELIGHTON	136760798	LEAVE LIGHT ON	EARLY ROBERT JOHN
2dAiHAa3buEDWlj0uyBDBc	Donalina	DONALINA	DONALINA	149026102	DONALINA	AVIV COHEN
5faqpitzDhJKv3huL8nJhp	Wetin We Gain	WETINWEGAIN	WETINWEGAIN	154575604	WETIN WE GAIN	VICTOR AD
5pJ4txCueCm3vSLHp2tx3A	What You Do	WHATYOUDO	WHATYOUDO	151793060	WHAT YOU DO	BRIGANTE MICHAEL GINO
4OEpeTynFu4UgdkspM3WzC	Oboe Concerto in C Minor: Adagio	OBOECONCERTOINCMINORADAGI	OBOECONCERTOINCMINORADAGI	147895577	OBOE CONCERTO IN C MINOR: ADAGIO	GEORG PHILIP TELEMANN
0XD8PIk6ZPrvuOZI8kZON0	Some Fun Now	SOMEFUNNOW	SOMEFUNNOW	101698377	SOME FUN NOW	ASHMAN H/MENKEN A
5QlmJpzQ2SyTP54loicFyQ	Three Four	THREEFOUR	THREEFOUR	153765557	THREE FOUR	LEWIS S/GORDON K
2XRyW3Kbd7ln1b78CJ0U5u	Offering	OFERIN	OFERIN	128264872	OFFERING	DINKJIAN ARA G
5NSxCIccne0LGgtEw5egrr	Crazy Beat	CRAZYBEAT	CRAZYBEAT	135407705	CRAZY BEAT	RHODES J/FALLIN J
1XoJocoi2Kz18kqFgZVWDN	Free My Way	FREEMYWAY	FREEMYWAY	120279205	FREE MY WAY	BROWN IAN GEORGE
7p1kmc8AVgYHKLxDnGIY2H	You Can't Outrun 'Em	YOUCANTOUTRUNEM	YOUCANTOUTRUNEM	141064988	YOU CAN'T OUT RUN EM	LEWIS JENNY DIANE
6Oo0MdVI6g6732qbg8ad6x	Honeysuckle	HONEYSUCKLE	HONEYSUCKLE	152551943	HONEYSUCKLE	BUSBEE M/LINDSEY H/DEAN B
6P54hhvnaS5kM9nv5tHocS	Hard Headed Woman	HARDHEADEDWOMAN	HARDHEADEDWOMAN	102883048	HARD HEADED WOMAN	/DE-METRUIS CLAUDE
0kr4qhkSAiBEOvT1aoBcY6	Eenie Meenie	EENIEMEENIE	EENIEMEENIE	138853642	EENIE MEENIE	RAYMOND POUNDS/MICHAEL SEMBELLO
4Z9z2jL0LO1ikTYUZmBAtK	Besame Mucho	BESAMEMUCHO	BESAMEMUCHO	101323809	KISS ME	VELAZQUEZ C/SKYLAR S
50yv11h0Rm8BuSdFNTsX60	A Father of Very Little Brain	FATHEROFVERYLITLEBRAIN	FATHEROFVERYLITLEBRAIN	154292801	A FATHER OF VERY LITTLE BRAIN	MCNEIL Z/ZANELLI G
5HgXSKXtmhbkwyw9T1s7dP	Love You For Life	LOVEYOUFORLIFE	LOVEYOUFORLIFE	134340628	LOVE YOU FOR LIFE	HARMON C/THORNTON M/BACCUS E
7muB8MHe9LwtFybCLk043k	Quero Um Baby Seu	QUEROUMBABYSEU	QUEROUMBABYSEU	141606935	QUERO UM BABY SEU	PAULO ZDANOWSKI/LUIZ CARLOS SIQUEIRA
6suUkCbptTEFsUDGqfYrkC	Come Back Baby	COMEBACKBABY	COMEBACKBABY	139113106	COME BACK BABY	MCGARRIGLE KATE
6jOuqpHYidc4HpnRwr6nRr	Sonata no. 14 in G major: III. Andante cantabile	SONATANO14INGMAJORIIIANDA	SONATANO14INGMAJORIIIANDA	149137591	SONATA NO. 14 IN G MAJOR: III. ANDANTE CANTABILE	GIUSEPPE TARTINI
0jwgNSJVOYiZwbhsnUfBPt	The Hand	HAND	HAND	124310011	THE HAND	FRAZER PAULA
788cpxNtwjpKlq6W4mgvDK	Unchained Melody	UNCHAINEDMELODY	UNCHAINEDMELODY	155760646	UNCHAINED MELODY	ZARET HY/NORTH ALEX
59qNxfwZVsasBB9qcPhmIM	Disseminate	DISEMINATE	DISEMINATE	138256676	DISSEMINATE	LEEB B/FULBER R
3K6Qgi5BlNP9J3ZcotMZMG	Road Less Traveled	ROADLESTRAVELED	ROADLESTRAVELED	133272841	ROAD LESS TRAVELLED	YOST KEVIN
7gwtPl068Bd2kYGXwMNa64	Don't You Dream	DONTYOUDREAM	DONTYOUDREAM	106744246	DON'T YOU DREAM	ROMEO T/KELLY C
7FaYqYa8EBuDx84rFDO9vW	Long Live Our Love	LONGLIVEOURLOVE	LONGLIVEOURLOVE	111126924	LONG LIVE OUR LOVE	JACKSON J/BARNES S
1T3vZiFuqP0jeKYODA9cPW	Caliente	CALIENTE	CALIENTE	152192476	CALIENTE	JONES J/KAUFHOLD A/BLANK P
5YAjpn3NzhdXBxYL5cGy89	Hello	HELO	HELO	102396774	HELLO	RICHIE LIONEL B (JR)
57glJwCgaO15nGDw8L24tJ	El Mercado	MERCADO	MERCADO	151393355	EL MERCADO	ALEX RODRIGUEZ
2JrPYgybHbfNq1GLrAfubI	"\"Love Theme from \"\"The Godfather\"\"\""	LOVETHEMEFROMGODFATHER	LOVETHEMEFROMGODFATHER	138917053	LOVE THEME FROM GODFATHER	ROTA
33HCg2N6H6ZSrzHq9lU0dN	Satanic Barbarism	SATANICBARBARISM	SATANICBARBARISM	136768349	SATANIC BARBARISM	MALONE B/HERSEMANN E
52ctAVW37gpbNcVRJ6bT0A	Sirens	SIREN	SIREN	137084316	SIRENS	DIXON GABRIEL BARRY
6zITIkNO0vAoEtvM9ZEFpM	Hanging Around	HANGINAROUND	HANGINAROUND	129640762	HANGING AROUND	HAYES GEMMA CLAIRE
2nk5cDGgASFCSinFjphaYK	Salome	SALOME	SALOME	107207857	SALOME	LLOYD-WEBBER A/BLACK D/HAMPTON C
4HDjs3LiKRVJsa9LW5tzTT	Sti Theoria	STITHEORIA	STITHEORIA	145829519	STI THEORIA	VALENTINO/HRISTODOULOS SIGANOS
6ZW4YoXdDsV6rc8clOBRn4	Marcha do Donzel	MARCHADODONZEL	MARCHADODONZEL	142320961	MARCHA DO DONZEL	BRAGA D/SUASSUNA A
6nwK4MlCvxob5Yk3NuHDXx	To the Dawn	TODAWN	TODAWN	117610167	SEPT CHANSONS (FOR CHORUS) (1936)	POULENC F/GRINDEL E
5Ma5oifXhrs1lq56lV59hI	Whispers	WHISPER	WHISPER	135233071	WHISPERS	RUDD XAVIER PETER I
0zxWRrstHxE3fYI5QleMxf	I Want You	IWANTYOU	IWANTYOU	151071826	I WANT YOU	DE ANGELIS M/BURKE D/KAZ G
1EhM3WRdenmzHQ3YUzAh0m	Juancho	JUANCHO	JUANCHO	133386189	JUANCHO (CUMBIA)	ROSALES A/JUNCO L
5CGzGHQydEhSQVOC3CW7Oh	Festival Crash	FESTIVALCRASH	FESTIVALCRASH	146749998	FESTIVAL CRASH	CORSTEN FERRY
0RClguMsTbVPYKzY27TzyL	Espirais	ESPIRAI	ESPIRAI	135247662	ESPIRAIS	DE CASTILHO A/LEMOS A
43qiUSR7w0b7NrjV0dm6b2	Superheld	SUPERHELD	SUPERHELD	134458905	SUPERHELD	HUENECKE K/STRATE J/GROETSCH N/SINN J
07WNFI1IZp7EXGOL2YyCzw	Slow Ruin	SLOWRUIN	SLOWRUIN	144389452	SLOW RUIN	SANNHET
0OA2aD6f3nP17nZtx2udzh	Poor Boy	POORBOY	POORBOY	146810911	POOR BOY	DAVIDSON D/AKINS R/FARR T/HAYSLIP B
7xRPfG0cM9klqDigaRl9VP	Whiskey Ghost	WHISKEYGHOST	WHISKEYGHOST	144580879	WHISKEY GHOST	NICHOLSON G/HAMBRIDGE T
4BEwHBh3V461UyBK2mGpq5	First Light	FIRSTLIGHT	FIRSTLIGHT	152628496	FIRST LIGHT	MICHAELSON D/LINDNER A
0jacpERIrAsZmr803d2Uk5	Anathema	ANATHEMA	ANATHEMA	155928285	ANATHEMA	DAVID ARNOLD
6ppg2EReeJMf4ntrwwIkWp	DANCE WITH ME NOW!	DANCEWITHMENOW	DANCEWITHMENOW	149435577	DANCE WITH ME NOW! (PKCZR REMIX)	KURA T/MICHICO/MICHICO
0ej4nOozKUrCOU7ysxNXLh	What's New	WHATSNEW	WHATSNEW	137588352	WHAT S NEW	UNKNOWN
3vJuG3Uc9yUmB79azIEGDE	Last Night	LASTNIGHT	LASTNIGHT	110753011	LAST NIGHT	ANDERSON EMMA VICTORIA JANE
48GzqZeI4CJLdxJ4o5WWMk	#thatPOWER	THATPOWER	THATPOWER	144169068	#THATPOWER	BIEBER J/ADAMS W/LEROY D/STOLYAROV A
6RyCki6lEPqMMau369wPyW	Long on Love	LONGONLOVE	LONGONLOVE	119329225	LONG ON LOVE	LEE R/VILLANUEVA T
637SM8vCqY6uNFvnLLEipf	Redwing	REDWIN	REDWIN	120938980	REDWING	BANKS ANTHONY GEORGE
7Ijlt1DIrpT3kEU2JaKa0f	Prayer for Travelling	PRAYERFORTRAVELIN	PRAYERFORTRAVELIN	148664064	PRAYER FOR TRAVELLING	GABRIEL JACKSON
